# unix_время	событие	поверхность	радиус_см	ячейка_см	ячейка_факт_см	уровень_глобуса	вращение_рукой	папка	задание	попадание	мс_от_задания	подробности
# сессия 2026-09-15T23:51:33
1789498457.866	мастер_значение	globe	11.5	10.7	8.66	1	ball					cell_cm=10.7
1789498457.922	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
1789498457.943	мастер_значение	globe	11.5	10.9	8.66	1	ball					cell_cm=10.9
1789498457.977	мастер_значение	globe	11.5	11.0	8.66	1	ball					cell_cm=11.0
1789498458.022	мастер_значение	globe	11.5	11.1	8.66	1	ball					cell_cm=11.1
1789498458.066	мастер_значение	globe	11.5	11.2	8.66	1	ball					cell_cm=11.2
1789498458.088	мастер_значение	globe	11.5	11.3	14.7	0	ball					cell_cm=11.3
1789498458.121	мастер_значение	globe	11.5	11.4	14.7	0	ball					cell_cm=11.4
1789498458.177	мастер_значение	globe	11.5	11.3	14.7	0	ball					cell_cm=11.3
1789498458.199	мастер_значение	globe	11.5	11.2	8.66	1	ball					cell_cm=11.2
1789498458.221	мастер_значение	globe	11.5	11.1	8.66	1	ball					cell_cm=11.1
1789498458.243	мастер_значение	globe	11.5	11.0	8.66	1	ball					cell_cm=11.0
1789498458.255	мастер_значение	globe	11.5	10.9	8.66	1	ball					cell_cm=10.9
1789498458.276	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
1789498458.333	мастер_значение	globe	11.5	10.9	8.66	1	ball					cell_cm=10.9
1789498458.354	мастер_значение	globe	11.5	10.8	8.66	1	ball					cell_cm=10.8
1789498458.377	мастер_значение	globe	11.5	10.7	8.66	1	ball					cell_cm=10.7
1789498458.388	мастер_значение	globe	11.5	10.6	8.66	1	ball					cell_cm=10.6
1789498458.399	мастер_значение	globe	11.5	10.5	8.66	1	ball					cell_cm=10.5
1789498458.410	мастер_значение	globe	11.5	10.4	8.66	1	ball					cell_cm=10.4
1789498458.431	мастер_значение	globe	11.5	10.3	8.66	1	ball					cell_cm=10.3
1789498458.444	мастер_значение	globe	11.5	10.2	8.66	1	ball					cell_cm=10.2
1789498458.477	мастер_значение	globe	11.5	10.1	8.66	1	ball					cell_cm=10.1
1789498458.521	мастер_значение	globe	11.5	10.0	8.66	1	ball					cell_cm=10.0
1789498458.534	мастер_значение	globe	11.5	9.9	8.66	1	ball					cell_cm=9.9
1789498458.554	мастер_значение	globe	11.5	9.8	8.66	1	ball					cell_cm=9.8
1789498458.566	мастер_значение	globe	11.5	9.7	8.66	1	ball					cell_cm=9.7
1789498458.587	мастер_значение	globe	11.5	9.6	8.66	1	ball					cell_cm=9.6
1789498458.599	мастер_значение	globe	11.5	9.5	8.66	1	ball					cell_cm=9.5
1789498458.621	мастер_значение	globe	11.5	9.4	8.66	1	ball					cell_cm=9.4
1789498458.643	мастер_значение	globe	11.5	9.3	8.66	1	ball					cell_cm=9.3
1789498458.665	мастер_значение	globe	11.5	9.2	8.66	1	ball					cell_cm=9.2
1789498458.699	мастер_значение	globe	11.5	9.1	8.66	1	ball					cell_cm=9.1
1789498458.711	мастер_значение	globe	11.5	9.0	8.66	1	ball					cell_cm=9.0
1789498458.754	мастер_значение	globe	11.5	8.9	8.66	1	ball					cell_cm=8.9
1789498458.766	мастер_значение	globe	11.5	8.8	8.66	1	ball					cell_cm=8.8
1789498458.777	мастер_значение	globe	11.5	8.7	8.66	1	ball					cell_cm=8.7
1789498458.788	мастер_значение	globe	11.5	8.6	8.66	1	ball					cell_cm=8.6
1789498458.810	мастер_значение	globe	11.5	8.5	8.34	2	ball					cell_cm=8.5
1789498458.822	мастер_значение	globe	11.5	8.4	8.34	2	ball					cell_cm=8.4
1789498458.842	мастер_значение	globe	11.5	8.3	8.34	2	ball					cell_cm=8.3
1789498458.855	мастер_значение	globe	11.5	8.2	8.34	2	ball					cell_cm=8.2
1789498458.876	мастер_значение	globe	11.5	8.0	8.34	2	ball					cell_cm=8.0
1789498458.888	мастер_значение	globe	11.5	7.9	8.34	2	ball					cell_cm=7.9
